value,filter,filter
3585.6,3586.354458,-0.133867625
3585.6,3586.353244,-0.127030563
3585.6,3586.345557,-0.123079329
3586.6,3586.331953,0.817418408
3585.6,3586.313489,-0.240484001
3586.2,3586.291282,0.327750183
3586.2,3586.266298,0.259835149
3585.8,3586.239492,-0.180841778
3586.6,3586.211751,0.555552244
3586.8,3586.184144,0.634124605
3587,3586.158162,0.695301873
3586.8,3586.135361,0.364892961
3586,3586.116776,-0.496343529
3586,3586.102512,-0.504579499
3586,3586.091991,-0.511655692
3585.6,3586.084414,-0.893174763
3586,3586.078921,-0.475007932
3586,3586.074794,-0.481456721
3587,3586.071842,0.452516563
3587,3586.070636,0.330731925
3586,3586.072013,-0.721306088
3586.6,3586.076245,-0.144238575
3586,3586.083064,-0.764111444
3586,3586.09196,-0.7444877
3587.8,3586.102596,0.966043979
3586.6,3586.115435,-0.352581562
3586.4,3586.131105,-0.576521217
3587.8,3586.149773,0.730159959
3587.8,3586.17198,0.559697142
3587.8,3586.198891,0.402393894
3587,3586.231371,-0.493522375
3588,3586.269574,0.407479916
3588,3586.313533,0.257040621
3588.2,3586.363565,0.307290931
3588.2,3586.420018,0.158452731
3588.2,3586.483021,0.022908101
3588.6,3586.552517,0.27570819
3588.6,3586.628428,0.117802993
3587.8,3586.710476,-0.776811311
3587.8,3586.797694,-0.811863115
3588,3586.888553,-0.651882355
3587.8,3586.98152,-0.884375059
3588,3587.075225,-0.709809972
3589.8,3587.168858,0.949537216
3590,3587.262944,0.900870524
3590,3587.359075,0.660791795
3589.4,3587.45866,-0.122129322
3590,3587.562308,0.312331764
3588.6,3587.669892,-1.18794516
3589.6,3587.780579,-0.251217359
3588.8,3587.893134,-1.116279178
3588.6,3588.006131,-1.309929032
3588.4,3588.117766,-1.473200602
3588.4,3588.226038,-1.420327548
3588.2,3588.329072,-1.552529652
3588,3588.425151,-1.658802449
3587.4,3588.512565,-2.116682125
3588,3588.589623,-1.378257372
3587.2,3588.654938,-2.031529651
3586.6,3588.707238,-2.404338753
3586.2,3588.744914,-2.526526032
3586.2,3588.766213,-2.238391858
3586,3588.769734,-2.153435339
3585.2,3588.754469,-2.623414781
3585,3588.719468,-2.451834455
3585,3588.663881,-2.090785
3585,3588.587398,-1.752611609
3585,3588.490429,-1.436673503
3583.8,3588.373758,-2.26922685
3583,3588.237765,-2.605470966
3583.8,3588.082362,-1.37405026
3583.8,3587.90802,-1.022609439
3584,3587.716316,-0.510453333
3584.2,3587.509634,-0.048003139
3583,3587.290597,-0.94748267
3583.2,3587.061392,-0.411792161
3583,3586.82374,-0.30461619
3582.2,3586.579185,-0.763874262
3582.2,3586.328929,-0.404406206
3582.8,3586.074062,0.486741544
3582.8,3585.816223,0.713242376
3584.2,3585.557923,2.229958503
3582.2,3585.302195,0.365270063
3582,3585.051341,0.415353528
3582.4,3584.806401,1.026688587
3582,3584.568064,0.813555243
3582.8,3584.337234,1.752879012
3584.2,3584.115477,3.137823135
3582.8,3583.905209,1.711999179
3583,3583.708586,1.949395127
3584,3583.526999,2.900111701
3583.2,3583.361748,2.030643167
3583.2,3583.213869,2.003480483
3583.2,3583.08365,1.967599435
3584.2,3582.971111,2.862924628
3583.8,3582.876556,2.318448069
3584,3582.800341,2.385839291
3585,3582.74269,3.179602364
3585,3582.704076,2.91704451
3585,3582.685126,2.663253443
3585,3582.686046,2.418426202
3584.8,3582.706414,1.994909848
3585,3582.745252,1.979891594
3584,3582.801014,0.82222639
3583.6,3582.87128,0.355496449
3584.6,3582.952996,1.252696559
3584,3583.043378,0.528617851
3584.6,3583.140173,1.009365851
3584,3583.241375,0.295075993
3585.4,3583.345303,1.537131448
3585.8,3583.451139,1.677770209
3585.8,3583.559065,1.409113843
3585.4,3583.669458,0.781136364
3585.2,3583.782131,0.404135078
3585.6,3583.896373,0.626763665
3584.6,3584.011211,-0.501753601
3585.2,3584.125363,0.003796474
3584.4,3584.237299,-0.870548595
3584.8,3584.34543,-0.51358703
3585,3584.448343,-0.387960075
3585.6,3584.545253,0.096282467
3585.6,3584.636156,-0.045864926
3586.2,3584.721623,0.387537489
3585.6,3584.802488,-0.365107177
3586.4,3584.879561,0.283501425
3586.6,3584.953744,0.284879419
3586.8,3585.026259,0.278847687
3586.8,3585.098411,0.078442069
3588.4,3585.171626,1.398429715
3587.4,3585.247736,0.105090765
3587.4,3585.328345,-0.102772173
3587,3585.414045,-0.666547587
3586.6,3585.504436,-1.164290398
3586.6,3585.598394,-1.22425632
3586.6,3585.694431,-1.273063075
3588,3585.791387,0.003352958
3587.4,3585.888954,-0.753760287
3587.4,3585.987231,-0.856885733
3588,3586.086149,-0.382310897
3588,3586.185723,-0.528552842
3588,3586.286172,-0.65764259
3588,3586.387595,-0.770509841
3588,3586.489864,-0.868066643
3587.8,3586.592636,-1.139024725
3587.8,3586.695315,-1.185023128
3589,3586.797393,-0.092927242
3590,3586.899279,0.680163888
3588.8,3587.002301,-0.712060922
3588.8,3587.107413,-0.810617823
3588.8,3587.214545,-0.894299086
3589.4,3587.323267,-0.400586978
3588.8,3587.433275,-1.091552803
3589.8,3587.544324,-0.192520644
3589,3587.65622,-1.090712604
3589.8,3587.768767,-0.374138673
3590,3587.881862,-0.304661377
3590,3587.995694,-0.430653858
3589.6,3588.110411,-0.915827573
3590,3588.225769,-0.587093968
3590.2,3588.341403,-0.481936611
3590.2,3588.457126,-0.574605207
3589.8,3588.572718,-1.028742737
3589.8,3588.687591,-1.046827444
3589.8,3588.800839,-1.055620658
3590.2,3588.911603,-0.680272749
3590,3589.019309,-0.907827645
3589.8,3589.123491,-1.101749863
3589.8,3589.223522,-1.076520198
3589.8,3589.318678,-1.045773565
3589.8,3589.408313,-1.010142254
3590,3589.491963,-0.78240953
3590,3589.569414,-0.762381261
3590.2,3589.640706,-0.549857966
3590.4,3589.706131,-0.35681682
3590.2,3589.76618,-0.5579201
3588.8,3589.82101,-1.856291203
3589,3589.869823,-1.48296371
3589,3589.91124,-1.328122332
3589,3589.944141,-1.178965164
3590.4,3589.968179,0.279093049
3590.4,3589.984202,0.251292103
3589,3589.993676,-1.08673339
